mode,total_bits,int_bits,frac_bits,lut_total_bits,lut_int_bits,lut_frac_bits,lut_min,lut_max,lut_entries,lut_address_width,lut_memory_bits,max_abs_error,mean_abs_error,rmse,max_relative_error,overflow_count,saturation_count,lut_low_count,lut_high_count,table_saturation_count,monotonic_issues,repeated_accum_abs_error
fixed-piecewise,32,8,23,32,8,23,-16.000000,8.000000,512,9,16384,0.0469496496663,0.00146801910199,0.00633086351248,0.0838360906817,0,0,9037,10543,0,0,0.033874277043
fixed-piecewise,32,12,19,32,12,19,-16.000000,8.000000,512,9,16384,0.0469500072942,0.00146820678735,0.00633087331375,0.89914554435,0,0,9037,10543,0,0,0.0340211428877
fixed-piecewise,32,16,15,32,16,15,-16.000000,8.000000,512,9,16384,0.0466050028814,0.00146901351832,0.00632196063994,1,0,0,9037,10543,0,0,0.0347592868086
fixed-piecewise,32,20,11,32,20,11,-16.000000,8.000000,512,9,16384,0.0467881083501,0.00152123633288,0.00632161010773,1,0,0,9037,10543,0,0,0.0321347750898
fixed-piecewise,32,24,7,32,24,7,-16.000000,8.000000,512,9,16384,0.0524717715154,0.0023640330556,0.00643296803998,1,0,0,9037,10543,0,0,0.0350644625898
fixed-piecewise,24,8,15,24,8,15,-16.000000,8.000000,512,9,12288,0.0466050028814,0.00146901351832,0.00632196063994,1,0,0,9037,10543,0,0,0.0347592868086
fixed-piecewise,24,12,11,24,12,11,-16.000000,8.000000,512,9,12288,0.0467881083501,0.00152123633288,0.00632161010773,1,0,0,9037,10543,0,0,0.0321347750898
fixed-piecewise,24,14,9,24,14,9,-16.000000,8.000000,512,9,12288,0.0485015662378,0.00169800335654,0.00635573065481,1,0,0,9037,10543,0,0,0.0252988375898
fixed-piecewise,24,16,7,24,16,7,-16.000000,8.000000,512,9,12288,0.0524717715154,0.0023640330556,0.00643296803998,1,0,0,9037,10543,0,0,0.0350644625898
fixed-piecewise,24,18,5,24,18,5,-16.000000,8.000000,512,9,12288,0.0674868948734,0.00527612438335,0.00936437232086,1,0,0,9035,10541,0,0,0.00399803741016
fixed-piecewise,24,20,3,24,20,3,-16.000000,8.000000,512,9,12288,0.134462311208,0.0172057487687,0.0273112632193,1,0,0,9026,10532,0,0,0.00399803741016
fixed-piecewise,20,8,11,20,8,11,-16.000000,8.000000,512,9,10240,0.0467881083501,0.00152123633288,0.00632161010773,1,0,0,9037,10543,0,0,0.0321347750898
fixed-piecewise,20,10,9,20,10,9,-16.000000,8.000000,512,9,10240,0.0485015662378,0.00169800335654,0.00635573065481,1,0,0,9037,10543,0,0,0.0252988375898
fixed-piecewise,20,12,7,20,12,7,-16.000000,8.000000,512,9,10240,0.0524717715154,0.0023640330556,0.00643296803998,1,0,0,9037,10543,0,0,0.0350644625898
fixed-piecewise,20,14,5,20,14,5,-16.000000,8.000000,512,9,10240,0.0674868948734,0.00527612438335,0.00936437232086,1,0,0,9035,10541,0,0,0.00399803741016
fixed-piecewise,20,16,3,20,16,3,-16.000000,8.000000,512,9,10240,0.134462311208,0.0172057487687,0.0273112632193,1,0,0,9026,10532,0,0,0.00399803741016
fixed-piecewise,20,18,1,20,18,1,-16.000000,8.000000,512,9,10240,0.407839177344,0.0664620793317,0.105841475206,1,0,0,8990,10496,0,0,0.50399803741
fixed-piecewise,16,6,9,16,6,9,-16.000000,8.000000,512,9,8192,0.0485015662378,0.00169810096398,0.00635574565224,1,415,415,9037,10543,0,0,0.0350644625898
fixed-piecewise,16,8,7,16,8,7,-16.000000,8.000000,512,9,8192,0.0524717715154,0.0023640330556,0.00643296803998,1,0,0,9037,10543,0,0,0.0350644625898
fixed-piecewise,16,10,5,16,10,5,-16.000000,8.000000,512,9,8192,0.0674868948734,0.00527612438335,0.00936437232086,1,0,0,9035,10541,0,0,0.00399803741016
fixed-piecewise,16,12,3,16,12,3,-16.000000,8.000000,512,9,8192,0.134462311208,0.0172057487687,0.0273112632193,1,0,0,9026,10532,0,0,0.00399803741016
fixed-piecewise,16,14,1,16,14,1,-16.000000,8.000000,512,9,8192,0.407839177344,0.0664620793317,0.105841475206,1,0,0,8990,10496,0,0,0.50399803741
fixed-piecewise,16,15,0,16,15,0,-16.000000,8.000000,512,9,8192,0.699451529,0.130833067635,0.208861190546,1.10801870704,0,0,8943,10449,0,0,0.00399803741016
